CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Status,Percent_Predict,Rank_predict
Jerry Springer,3,4,Percent,22.0,11.1%,1.0%-100.0%,9.23,7.0,0.0919656124582616,8.973897638497874e-05,4.814700787392212e-06,0.0054736137390136,0.0352552607655525,0.2907504737377167,Safe,9.23,7.0
Monique Coleman,3,5,Percent,27.0,14.9%,0.0%-97.2%,15.45,1.0,0.172303560283035,0.0004790586826857,0.0,0.0058102011680603,0.0028406549245119,0.6323213577270508,Safe,15.45,1.0
Joey Lawrence,3,5,Percent,25.0,13.8%,1.1%-98.3%,13.54,3.0,0.172303560283035,0.0004790586826857,0.0,0.0058102011680603,0.0028406549245119,0.6323213577270508,Safe,13.54,3.0
Mario Lopez,3,5,Percent,27.0,14.9%,0.0%-97.2%,15.45,1.0,0.172303560283035,0.0004790586826857,0.0,0.0058102011680603,0.0028406549245119,0.6323213577270508,Safe,15.45,1.0
Emmitt Smith,3,5,Percent,27.0,14.9%,0.0%-97.2%,15.45,1.0,0.172303560283035,0.0004790586826857,0.0,0.0058102011680603,0.0028406549245119,0.6323213577270508,Safe,15.45,1.0
Willa Ford,3,5,Percent,27.0,14.9%,0.0%-16.2%,15.08,2.0,0.172303560283035,0.0004790586826857,0.0,0.0058102011680603,0.0028406549245119,0.6323213577270508,Eliminated (Place 7),15.08,2.0
Sara Evans,3,5,Percent,24.0,13.3%,0.0%-97.2%,12.4,5.0,0.172303560283035,0.0004790586826857,0.0,0.0058102011680603,0.0028406549245119,0.6323213577270508,Withdrew,12.4,5.0
Jerry Springer,3,5,Percent,24.0,13.3%,1.7%-98.9%,12.62,4.0,0.172303560283035,0.0004790586826857,0.0,0.0058102011680603,0.0028406549245119,0.6323213577270508,Safe,12.62,4.0
Monique Coleman,3,6,Percent,23.0,19.5%,0.0%-100.0%,18.18,4.0,0.0509933475404977,0.0,0.0,0.0024040341377258,0.0307371374219656,0.1507351547479629,Safe,18.18,4.0
Joey Lawrence,3,6,Percent,24.0,20.3%,0.0%-100.0%,20.59,3.0,0.0509933475404977,0.0,0.0,0.0024040341377258,0.0307371374219656,0.1507351547479629,Safe,20.59,3.0
